RetailerName,Brand,AverageSales1,Standard Deviation1,LCLmean-sigma1,UCLmean+sigma1,Min of Calendar Year Num
Amazon.com,,99739.68642857144,60832.71729675638,38906.96913181506,160572.4037253278,2019
Amazon.com,BAN,15649.60142857143,1748.5878011488278,13901.013627422602,17398.189229720258,2019
Amazon.com,BEACH BLONDE,5916.943571428572,1133.6376826936137,4783.305888734958,7050.581254122186,2019
Amazon.com,BIORE,101519.30428571427,13758.955135125578,87760.34915058869,115278.25942083985,2019
Amazon.com,BRILLIANT BRUNETTE,18578.67357142857,2590.5758331790867,15988.097738249486,21169.249404607657,2019
Amazon.com,CUREL,42546.92785714286,2862.9790090048473,39683.94884813801,45409.90686614771,2019
Amazon.com,FRIZZ EASE,50288.435000000005,4527.335328603816,45761.09967139619,54815.77032860382,2019
Amazon.com,FULL REPAIR,-4.989999999999999,32.46697142225208,-37.45697142225208,27.47697142225208,2019
Amazon.com,JERGENS,117348.63571428575,29335.983189988267,88012.65252429747,146684.61890427402,2019
Amazon.com,JOHN FRIEDA COLOUR,2022.2778571428576,299.47759391929844,1722.800263223559,2321.7554510621558,2019
Amazon.com,MEGRHYTHM,2063.3185714285714,262.3903142500599,1800.9282571785116,2325.7088856786313,2019
Amazon.com,PRECISION FOAM COLOR,19323.433571428573,4054.525999602333,15268.907571826241,23377.959571030908,2019
Amazon.com,RADIANT RED,5286.227857142857,517.2734050656991,4768.954452077158,5803.501262208556,2019
Amazon.com,SHEER BLONDE,21209.63571428571,2599.3299531492753,18610.305761136435,23808.965667434983,2019
Amazon.com,VOLUME,14157.285714285716,1044.3782708025212,13112.907443483195,15201.663985088237,2019
CVS - Pharmacy,,63333.388826862974,6453.921796750621,56879.467030112355,69787.3106236136,2019
CVS - Pharmacy,BAN,56073.957790540655,10422.216908319824,45651.74088222083,66496.17469886047,2019
CVS - Pharmacy,BEACH BLONDE,255.63333304723105,240.0258739875865,15.607459059644555,495.65920703481754,2019
CVS - Pharmacy,BIORE,202804.83859823347,17998.546793319252,184806.29180491422,220803.38539155273,2019
CVS - Pharmacy,BRILLIANT BRUNETTE,32422.446005042395,1986.9868733666494,30435.459131675747,34409.43287840905,2019
CVS - Pharmacy,CUREL,65723.04059476852,16752.366213918976,48970.674380849545,82475.40680868749,2019
CVS - Pharmacy,FRIZZ EASE,164026.7941775759,10573.42390457463,153453.3702730013,174600.21808215053,2019
CVS - Pharmacy,FULL REPAIR,-0.4993333180745443,1.8683341980359607,-2.367667516110505,1.3690008799614164,2019
CVS - Pharmacy,JERGENS,445024.478433682,107786.55380958506,337237.92462409695,552811.032243267,2019
CVS - Pharmacy,RADIANT RED,10976.111984300613,899.1041908106498,10077.007793489964,11875.216175111262,2019
CVS - Pharmacy,ROOT AWAKENING,0,0,0,0,2019
CVS - Pharmacy,SHEER BLONDE,55969.06538836161,5202.726136287304,50766.33925207431,61171.791524648914,2019
CVS - Pharmacy,VOLUME,45056.11723499745,4138.536290122306,40917.580944875146,49194.65352511976,2019
Dollar General Store,,10578.437557220459,2751.848247778482,7826.589309441977,13330.28580499894,2019
Dollar General Store,BAN,13410.507586767199,1339.9521182009964,12070.555468566203,14750.459704968194,2019
Dollar General Store,BIORE,53885.37365722656,4627.392594283637,49257.98106294293,58512.7662515102,2019
Dollar General Store,CUREL,27609.1572265625,3648.0318011133445,23961.125425449154,31257.189027675846,2019
Dollar General Store,JERGENS,150561.68662600778,15656.88977431423,134904.79685169354,166218.57640032202,2019
Kroger - Ralph's,,7090.507345342636,549.959757607424,6540.547587735212,7640.46710295006,2019
Kroger - Ralph's,BAN,41967.05362618764,7276.232246876583,34690.821379311055,49243.285873064226,2019
Kroger - Ralph's,BEACH BLONDE,0.37000012397766113,4.239866281723549,-3.8698661577458875,4.60986640570121,2019
Kroger - Ralph's,BIORE,111630.50110641321,13933.708400480107,97696.7927059331,125564.20950689333,2019
Kroger - Ralph's,BRILLIANT BRUNETTE,4504.259273719787,4816.686103718086,-312.4268299982987,9320.945377437874,2019
Kroger - Ralph's,CUREL,63771.53586997986,11306.048425513309,52465.48744446655,75077.58429549317,2019
Kroger - Ralph's,FRIZZ EASE,62540.7019993643,4200.2408511306985,58340.4611482336,66740.94285049499,2019
Kroger - Ralph's,JERGENS,219066.25991617044,28904.531189538346,190161.7287266321,247970.79110570878,2019
Kroger - Ralph's,JOHN FRIEDA COLOUR,417.3319986979167,113.50101082852804,303.83098786938865,530.8330095264447,2019
Kroger - Ralph's,PRECISION FOAM COLOR,22369.482655207317,2139.6648187030487,20229.81783650427,24509.147473910365,2019
Kroger - Ralph's,RADIANT RED,9.242307728013166,12.879481412656656,-3.6371736846434892,22.121789140669822,2019
